procedure,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench,significant
Expanding,iv_skew_90_120,48,12m,expanding,expanding,-11.623,-0.8689551839691483,0.8075641779933977,-0.770441,0.8809791032655248,0.9955887395331636,0
Expanding,iv_skew_90_120,60,12m,expanding,expanding,-5.859,-0.17817842732542388,0.5707085744378073,-0.708558,0.7505208650141028,0.9955887395331636,0
Expanding,iv_skew_90_120,72,12m,expanding,expanding,-1.99,0.32193138671491855,0.37375233738309704,-0.667437,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_90_120,120,12m,expanding,expanding,-0.748,0.3958939337959743,0.34609163818325234,-0.604771,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_90_120,48,1m,expanding,expanding,-2.873,-1.1849771471888342,0.8819867586943088,-0.076063,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_120,60,1m,expanding,expanding,-2.752,-1.1254716193069214,0.869805381472289,-0.067647,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_120,72,1m,expanding,expanding,-2.731,-1.0767423153460043,0.8592022988411223,-0.060669,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_120,120,1m,expanding,expanding,-2.467,-0.9460968366265553,0.8279504014459832,-0.046586,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_120,48,3m,expanding,expanding,-5.848,-1.8987865544827751,0.9712037271314877,-0.115816,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_120,60,3m,expanding,expanding,-3.294,-2.046112700846678,0.9796273581575214,-0.092116,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_120,72,3m,expanding,expanding,-2.632,-1.6603630472104192,0.9515792803313307,-0.07251,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_120,120,3m,expanding,expanding,-1.732,-1.108602703052884,0.8661991942316887,-0.046504,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_120,48,6m,expanding,expanding,-7.141,-1.6143004898771498,0.9467688680434545,-0.136828,0.9467688680434545,0.9955887395331636,0
Expanding,iv_skew_90_120,60,6m,expanding,expanding,-3.159,-1.3275554178152507,0.9078374895881348,-0.10077,0.9414686265451025,0.9955887395331636,0
Expanding,iv_skew_90_120,72,6m,expanding,expanding,-1.662,-0.7219379006444793,0.7648336709931138,-0.079904,0.8954150294553527,0.9955887395331636,0
