index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
NIFTY,skew_ratio_90_120,120,6m,expanding,expanding,-2.5924608641483715,-0.12135182645792295,0.5482938141409914,0.05155596068218437,0.6853672676762392,0.8951735741077411
NIFTY,skew_ratio_90_120,120,12m,expanding,expanding,-17.752536637724624,-0.01592632327974239,0.5063534151382285,0.19777547915072302,0.6329417689227856,0.8799092814739201
NIKKEI,skew_ratio_90_120,120,1m,expanding,expanding,-0.2757898766125866,0.3628171980086755,0.35837072194542385,-0.029893247127500487,0.9933721268933438,0.7782850969315067
NIKKEI,skew_ratio_90_120,120,3m,expanding,expanding,-1.647169407027227,-0.07010653888711167,0.5279455688843521,-0.04927264880471361,0.8799092814739201,0.8799092814739201
NIKKEI,skew_ratio_90_120,120,6m,expanding,expanding,-0.6744555203419544,0.5825308967363955,0.28010456822058016,-0.10270812381165802,0.4001493831722574,0.7631508166194603
NIKKEI,skew_ratio_90_120,120,12m,expanding,expanding,-0.6609614565460387,0.6987938875900094,0.2423404245038682,-0.24025676398780374,0.34620060643409745,0.7155324323059178
SMI,skew_ratio_90_120,120,1m,expanding,expanding,-0.5478785804971853,-1.8512620734487173,0.9679340702493353,-0.001326330601374663,0.9933721268933438,0.9933721268933438
SMI,skew_ratio_90_120,120,3m,expanding,expanding,0.8758403853968311,0.5645746489540738,0.28618155623229763,-0.01965885675571625,0.8363475582458186,0.7631508166194603
SMI,skew_ratio_90_120,120,6m,expanding,expanding,4.8084870401784325,0.9738104699096686,0.16507532679694403,-0.042800439953425334,0.33501318665605495,0.6091148848291909
SMI,skew_ratio_90_120,120,12m,expanding,expanding,19.69397844775055,1.4162816273489778,0.07834653242771872,-0.0956191511294947,0.2611551080923957,0.5343868399860155
